Municipios,Periodo,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona 
28055 Estremera,2022,16.47979,15.053149999999999,34.24040899999999,12.944659999999999,29.493684,11.149821
28056 Fresnedillas de la Oliva,2022,17.440674,15.053149999999999,38.163669,13.429298,32.25675,11.35018
28057 Fresno de Torote,2022,21.225466,18.72465,46.666863,16.727354,36.867105,13.215302
28058 Fuenlabrada,2022,19.013125,17.990349999999996,42.062802,14.576904,35.682784,12.365611999999999
28059 Fuente el Saz de Jarama,2022,20.647467,17.25605,47.679148,16.121032,39.147631,13.236282
28060 FuentidueÃ±a de Tajo,2022,16.812323,15.78745,32.673202999999994,13.218449,28.271599,11.437247
28061 Galapagar,2022,24.495198999999996,20.927549999999997,57.18728399999999,19.712808,45.634646999999994,15.730804
28062 Garganta de los Montes,2022,21.843327,20.19325,39.106719999999996,19.051937999999996,32.342768,15.757029
28063 Gargantilla del Lozoya y Pinilla de Buitrago,2022,20.971608,17.25605,37.107326,19.351952,30.007694,15.648981999999998
28064 Gascones,2022,23.788172999999997,19.458949999999998,48.92536,19.753718999999997,41.006459,16.556366999999998
28065 Getafe,2022,22.562941,20.19325,47.165138,18.125670999999997,38.773138,14.901045
28066 GriÃ±Ã³n,2022,24.251831,20.927549999999997,58.553081999999996,19.118025,46.58608999999999,15.2105
28067 Guadalix de la Sierra,2022,21.119517,18.72465,46.159147,16.961281,37.226912,13.678959999999998
28068 Guadarrama,2022,23.212272,20.927549999999997,51.06951599999999,18.649122,41.71453399999999,15.233578
"28069 Hiruela, La",2022,,,34.006482,19.040398999999997,28.562172,15.992004999999999
28070 Horcajo de la Sierra-Aoslos,2022,23.027648,18.72465,39.84416699999999,20.651663,32.482285,16.83645
28071 Horcajuelo de la Sierra,2022,18.680591999999997,16.521749999999997,36.396103999999994,17.186816,28.656582,13.5321
28072 Hoyo de Manzanares,2022,27.571915999999998,23.4976,65.26982899999999,22.840926,50.504105,17.673551999999997
28073 Humanes de Madrid,2022,18.110985,16.521749999999997,40.412724999999995,13.514266999999998,34.28132,11.464521
28074 LeganÃ©s,2022,20.718799,18.72465,42.981725999999995,16.425241999999997,36.017415,13.76288
28075 Loeches,2022,21.251690999999997,19.458949999999998,47.295213999999994,16.433633999999998,39.13819,13.599236
28076 Lozoya,2022,23.323466,17.990349999999996,43.767427,21.36813,35.960769,17.556064
28078 Madarcos,2022,,,34.006482,19.040398999999997,28.562172,15.992004999999999
28079 Madrid,2022,27.639051999999996,21.661849999999998,59.219197,23.693762999999997,46.106697,18.447713999999998
28080 Majadahonda,2022,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
28082 Manzanares el Real,2022,24.058814999999996,20.927549999999997,50.857617999999995,19.969813,40.586859,15.937456999999998
28083 Meco,2022,23.260526,21.661849999999998,54.810249999999996,18.039652999999998,44.638096999999995,14.691245
28084 Mejorada del Campo,2022,18.953332,17.990349999999996,41.824678999999996,14.458366999999999,35.476131,12.262809999999998
28085 Miraflores de la Sierra,2022,22.300691,18.72465,47.409555,18.652268999999997,38.337802999999994,15.083571
"28086 Molar, El",2022,18.728845999999997,16.521749999999997,40.63826,14.530747999999999,33.993894,12.155812
"28087 Molinos, Los",2022,22.911209,20.19325,49.93449799999999,18.876755,40.579516,15.340576
28088 Montejo de la Sierra,2022,20.198494999999998,17.990349999999996,36.639472,17.248707,30.883608999999996,14.539139999999998
28089 Moraleja de Enmedio,2022,21.743672,20.19325,50.536623999999996,16.520701,41.879227,13.690498999999999
28090 Moralzarzal,2022,26.171501,23.864749999999997,62.930558999999995,20.996783999999998,49.96387,16.670707999999998
28091 Morata de TajuÃ±a,2022,17.871813,16.521749999999997,37.783930999999995,13.788056,32.115134999999995,11.719428
28092 MÃ³stoles,2022,20.015969,18.72465,42.874728,15.603874999999999,36.220921000000004,13.181734
28093 Navacerrada,2022,26.198775,20.19325,56.596697,22.420277,44.490187999999996,17.625297999999997
28094 Navalafuente,2022,20.189054,17.25605,40.475665,16.559514,33.727447999999995,13.798545999999998
28095 Navalagamella,2022,17.548720999999997,15.78745,37.848969000000004,13.503776999999998,32.103595999999996,11.454031
28096 Navalcarnero,2022,21.01147,19.458949999999998,48.259245,15.953192,39.959557000000004,13.209007999999999
28097 Navarredonda y San MamÃ©s,2022,21.763603,19.458949999999998,32.357454,20.253042999999998,27.210010999999998,17.030514999999998
28099 Navas del Rey,2022,17.678797,15.78745,36.848223,13.86778,31.492029,11.852650999999998
28100 Nuevo BaztÃ¡n,2022,21.580028,19.458949999999998,50.423331999999995,17.042053999999997,41.121849,13.898201
28101 Olmeda de las Fuentes,2022,25.308174,19.826099999999997,53.392002,21.842277999999997,42.200221,17.263393
28102 Orusco de TajuÃ±a,2022,16.469299999999997,15.78745,31.257053,13.022286,27.086229,11.284092999999999
28104 Paracuellos de Jarama,2022,20.283,18.55,41.656839,23.785026,34.941,18.209591
28106 Parla,2022,16.886802,15.78745,37.909811,12.551284999999998,32.478089,10.753298999999998
28107 Patones,2022,23.009814999999996,21.661849999999998,44.94545399999999,18.803325,37.076905,15.511563
28108 Pedrezuela,2022,22.432865,20.19325,47.940349,18.146651,38.916850999999994,14.731106999999998
28109 Pelayos de la Presa,2022,15.819968999999999,14.31885,32.285073,12.675066999999999,27.489044999999997,10.792112
28110 Perales de TajuÃ±a,2022,17.149051999999998,15.78745,35.46669,13.34328,29.750688999999998,11.192829999999999
28111 Pezuela de las Torres,2022,19.431676,17.990349999999996,36.931094,15.724509999999999,31.224533999999995,13.295025999999998
28112 Pinilla del Valle,2022,20.879296,18.72465,37.524828,18.956479,31.508812999999996,15.916476999999999
28113 Pinto,2022,22.115018,20.19325,48.50576,17.429135,39.894518999999995,14.334584999999999
28114 PiÃ±uÃ©car-Gandullas,2022,19.936244999999996,18.72465,34.738684,16.987505999999996,28.906243999999997,14.135274999999998
28115 Pozuelo de AlarcÃ³n,2022,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
28116 Pozuelo del Rey,2022,19.945686,18.72465,40.313069999999996,15.336379999999998,33.920463999999996,12.903749
28117 PrÃ¡dena del RincÃ³n,2022,27.524711,19.458949999999998,48.76591199999999,24.382955999999997,40.05816299999999,20.028557
28118 Puebla de la Sierra,2022,,,34.006482,19.040398999999997,28.562172,15.992004999999999
28119 Quijorna,2022,20.7702,18.72465,46.799037,16.079072,38.486760999999994,13.223693999999998
28120 RascafrÃ­a,2022,21.363933999999997,17.990349999999996,42.667026,18.660661,35.226469,15.406662999999998
28121 RedueÃ±a,2022,21.6094,20.19325,42.213857999999995,17.990349999999996,35.34081,15.061542
28122 Ribatejada,2022,20.323325999999998,17.990349999999996,40.635113,16.456712,32.916571,13.330691999999999
28123 Rivas-Vaciamadrid,2022,26.900555999999998,24.59905,63.78864099999999,21.384914,50.639426,16.977016
